area_code,area_name,age_category,gender,year,value
14131,川崎市川崎区,総数,総数,2020年,232965
14132,川崎市幸区,総数,総数,2020年,171119
14133,川崎市中原区,総数,総数,2020年,263683
14134,川崎市高津区,総数,総数,2020年,234328
14135,川崎市多摩区,総数,総数,2020年,221734
14136,川崎市宮前区,総数,総数,2020年,233728
14137,川崎市麻生区,総数,総数,2020年,180705
14131,川崎市川崎区,15歳未満,総数,2020年,24813
14132,川崎市幸区,15歳未満,総数,2020年,22919
14133,川崎市中原区,15歳未満,総数,2020年,34069
14134,川崎市高津区,15歳未満,総数,2020年,29342
14135,川崎市多摩区,15歳未満,総数,2020年,23445
14136,川崎市宮前区,15歳未満,総数,2020年,31863
14137,川崎市麻生区,15歳未満,総数,2020年,23039
14131,川崎市川崎区,15～64歳,総数,2020年,147628
14132,川崎市幸区,15～64歳,総数,2020年,109665
14133,川崎市中原区,15～64歳,総数,2020年,183026
14134,川崎市高津区,15～64歳,総数,2020年,154646
14135,川崎市多摩区,15～64歳,総数,2020年,147040
14136,川崎市宮前区,15～64歳,総数,2020年,148225
14137,川崎市麻生区,15～64歳,総数,2020年,111041
14131,川崎市川崎区,65歳以上,総数,2020年,49709
14132,川崎市幸区,65歳以上,総数,2020年,36643
14133,川崎市中原区,65歳以上,総数,2020年,39332
14134,川崎市高津区,65歳以上,総数,2020年,43090
14135,川崎市多摩区,65歳以上,総数,2020年,42661
14136,川崎市宮前区,65歳以上,総数,2020年,47043
14137,川崎市麻生区,65歳以上,総数,2020年,42673
14131,川崎市川崎区,15歳未満,総数,2020年,11.16948
14132,川崎市幸区,15歳未満,総数,2020年,13.54335
14133,川崎市中原区,15歳未満,総数,2020年,13.28604
14134,川崎市高津区,15歳未満,総数,2020年,12.92155
14135,川崎市多摩区,15歳未満,総数,2020年,10.9995
14136,川崎市宮前区,15歳未満,総数,2020年,14.02847
14137,川崎市麻生区,15歳未満,総数,2020年,13.03457
14131,川崎市川崎区,15～64歳,総数,2020年,66.4542
14132,川崎市幸区,15～64歳,総数,2020年,64.80349
14133,川崎市中原区,15～64歳,総数,2020年,71.37548
14134,川崎市高津区,15～64歳,総数,2020年,68.10259
14135,川崎市多摩区,15～64歳,総数,2020年,68.98558
14136,川崎市宮前区,15～64歳,総数,2020年,65.2597
14137,川崎市麻生区,15～64歳,総数,2020年,62.8227
14131,川崎市川崎区,65歳以上,総数,2020年,22.37632
14132,川崎市幸区,65歳以上,総数,2020年,21.65316
14133,川崎市中原区,65歳以上,総数,2020年,15.33848
14134,川崎市高津区,65歳以上,総数,2020年,18.97586
14135,川崎市多摩区,65歳以上,総数,2020年,20.01492
14136,川崎市宮前区,65歳以上,総数,2020年,20.71184
14137,川崎市麻生区,65歳以上,総数,2020年,24.14273
