区,町丁名,現在の緯度,現在の経度,問題
川崎区,小川町,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,新川通,35.5960902,139.4825242,"経度139.4825（期待:139.68-139.8）, 緯度35.5961（期待:35.5-35.56）"
川崎区,東田町,35.5732659,139.4840407,"経度139.4840（期待:139.68-139.8）, 緯度35.5733（期待:35.5-35.56）"
川崎区,本町１丁目,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,本町２丁目,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,宮本町,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,伊勢町,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,扇島,35.4569814,139.6252917,"経度139.6253（期待:139.68-139.8）, 緯度35.4570（期待:35.5-35.56）"
川崎区,扇町,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,白石町,35.6080726,139.5159181,"経度139.5159（期待:139.68-139.8）, 緯度35.6081（期待:35.5-35.56）"
川崎区,浜町１丁目,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,浜町２丁目,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,浜町３丁目,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,浜町４丁目,35.4513083,139.6254725,"経度139.6255（期待:139.68-139.8）, 緯度35.4513（期待:35.5-35.56）"
川崎区,東扇島,35.49719,139.753955,緯度35.4972（期待:35.5-35.56）
川崎区,大川町,35.4952181,139.7147839,緯度35.4952（期待:35.5-35.56）
幸区,南加瀬４丁目,35.5422131,139.6573319,経度139.6573（期待:139.66-139.72）
幸区,南加瀬５丁目,35.5422131,139.6573319,経度139.6573（期待:139.66-139.72）
幸区,矢上,35.5538713,139.6588268,経度139.6588（期待:139.66-139.72）
幸区,大宮町,35.5299976,139.6934161,緯度35.5300（期待:35.53-35.57）
幸区,柳町,35.5291914,139.6889876,緯度35.5292（期待:35.53-35.57）
中原区,上新城１丁目,35.590571,139.628885,経度139.6289（期待:139.63-139.7）
中原区,新城,35.587962,139.627724,経度139.6277（期待:139.63-139.7）
中原区,新城５丁目,35.586216,139.628985,経度139.6290（期待:139.63-139.7）
高津区,明津,35.5678808,139.6366588,緯度35.5679（期待:35.58-35.63）
高津区,蟹ケ谷,35.5651289,139.6316175,緯度35.5651（期待:35.58-35.63）
高津区,子母口,35.5719091,139.6288304,緯度35.5719（期待:35.58-35.63）
高津区,子母口富士見台,35.5745663,139.6257607,緯度35.5746（期待:35.58-35.63）
高津区,千年,35.5779867,139.6228447,緯度35.5780（期待:35.58-35.63）
高津区,久末,35.5663762,139.6208738,緯度35.5664（期待:35.58-35.63）
高津区,北野川,35.579726,139.620171,緯度35.5797（期待:35.58-35.63）
高津区,東野川１丁目,35.572079,139.618276,緯度35.5721（期待:35.58-35.63）
高津区,東野川２丁目,35.5681441,139.6138797,緯度35.5681（期待:35.58-35.63）
多摩区,長沢３丁目,35.599901,139.541631,緯度35.5999（期待:35.6-35.66）
多摩区,長沢４丁目,35.598453,139.535439,緯度35.5985（期待:35.6-35.66）
麻生区,岡上,35.5783849,139.4811908,緯度35.5784（期待:35.58-35.63）
麻生区,下麻生,35.572171,139.51203,緯度35.5722（期待:35.58-35.63）
麻生区,虹ケ丘３丁目,35.5768584,139.5235577,緯度35.5769（期待:35.58-35.63）
麻生区,早野,35.5731476,139.5192036,緯度35.5731（期待:35.58-35.63）
麻生区,王禅寺東６丁目,35.5781654,139.5127125,緯度35.5782（期待:35.58-35.63）
麻生区,下麻生３丁目,35.574813,139.510879,緯度35.5748（期待:35.58-35.63）
麻生区,岡上５丁目,35.5777847,139.4754331,緯度35.5778（期待:35.58-35.63）
麻生区,岡上６丁目,35.5730507,139.4741376,緯度35.5731（期待:35.58-35.63）
