区,町丁名,総人口_累計,リスク加重人口_累計,最寄りAED距離_km,緯度,経度
麻生区,黒川,35353,239711.54,0.5038387456012982,35.613078,139.461727
多摩区,堰一丁目,36186,233027.13,0.5179736715240396,35.615821,139.594548
麻生区,片平四丁目,27209,198734.36000000002,0.5543931701592641,35.592608,139.48937
麻生区,白鳥四丁目,24948,187000.54,0.5361060773288644,35.606339,139.486429
多摩区,宿河原七丁目,22452,144212.08,0.551989448439219,35.616661,139.588444
宮前区,有馬九丁目,19374,142865.45,0.5138349928521574,35.572502,139.570688
多摩区,西生田五丁目,18297,121486.44,0.5972207947497291,35.607233,139.525651
多摩区,菅野戸呂,19037,116270.53,0.6106286335794668,35.640025,139.53051
麻生区,細山四丁目,14304,106028.34,0.5781911696070309,35.619998,139.513522
麻生区,栗木一丁目,10405,80613.82,0.57117263522425,35.60511,139.474368
麻生区,細山八丁目,9790,76280.71,0.6209480951354706,35.621007,139.510258
多摩区,菅仙谷一丁目,11040,72294.92,0.5488631048518915,35.629874,139.52361
麻生区,細山七丁目,7598,61087.68,0.858649335446568,35.623324,139.513776
川崎区,殿町三丁目,9256,51580.99,0.5585054539651753,35.540165,139.757853
麻生区,細山六丁目,5481,39043.88,0.5525444468128575,35.621776,139.517817
麻生区,栗木三丁目,2849,15062.34,0.7939496416747851,35.603925,139.471753
麻生区,栗木,1477,13503.92,0.6567670220111905,35.60173,139.475973
麻生区,細山,544,6528.16,0.5408704496050769,35.621625,139.505717
川崎区,扇町,250,3010.96,1.063778914312284,35.502505,139.723869
川崎区,小島町,123,538.78,0.6072352851501341,35.534437,139.756791
川崎区,東扇島,33,314.13,0.5978587674159952,35.497113,139.756993
川崎区,浮島町,4,13.489999999999998,0.9084866727561194,35.52168,139.777377
川崎区,水面,0,0.0,1.0388980260676897,35.491028,139.772604
川崎区,扇島,0,0.0,2.0901691244081007,35.48222,139.729087
川崎区,中瀬一丁目,0,0.0,0.5793295214010388,35.541375,139.72839
