順位,緯度,経度,区,町丁名,新規カバー人口,元順位
1,35.564183,139.622941,高津区,久末,7204,1
2,35.620824,139.512411,麻生区,細山四丁目,2720,68
3,35.569719,139.59866,宮前区,東有馬五丁目,2458,86
4,35.606489,139.486513,麻生区,白鳥四丁目,2228,118
5,35.562627,139.678403,中原区,上平間,2192,127
6,35.593066,139.488245,麻生区,片平四丁目,2137,157
7,35.566927,139.675554,中原区,中丸子,2057,175
8,35.602814,139.520247,麻生区,高石五丁目,1959,217
9,35.625764,139.568866,多摩区,登戸,1836,283
10,35.578491,139.524438,麻生区,虹ケ丘三丁目,1816,294
11,35.573008,139.570007,宮前区,有馬九丁目,1787,304
12,35.581176,139.617107,高津区,千年,1607,397
13,35.617239,139.497399,麻生区,向原二丁目,1598,407
14,35.574004,139.477287,麻生区,岡上,1517,476
15,35.640553,139.529388,多摩区,菅野戸呂,1456,554
16,35.611352,139.618622,高津区,久地二丁目,1276,727
17,35.605796,139.574295,宮前区,五所塚一丁目,1176,830
18,35.63153,139.524207,多摩区,菅仙谷一丁目,1165,844
19,35.547668,139.697706,幸区,小向仲野町,1094,920
20,35.574004,139.482825,麻生区,岡上,1089,930
