順位,区,町丁名,建物数,土地利用,コンビニ,設置候補,評価,備考
1,多摩区,登戸,不明（API範囲外）,草地、農地、工事中,なし（500m以内）,いなげや（スーパー）,✅ 設置可能,スーパーいなげやへの設置を推奨
2,高津区,久末,538棟,住宅地+農地,なし（500m以内）,たちばな幼稚園,⚠️ 要検討,幼稚園または町内会館への設置を推奨
3,高津区,千年,986棟,住宅地,ローソンストア100、ファミリーマート,ローソンストア100,✅ 設置容易,コンビニ複数あり。ローソンストア100を第一候補に
4,多摩区,登戸(2),717棟（集合住宅66棟）,住宅地+農地+森林,ファミリーマート,コープかながわ 登戸店、ファミリーマート,✅ 設置容易,コープまたはファミマへの設置を推奨
5,宮前区,犬蔵二丁目,390棟,住宅地+農地,セブン-イレブン,セブン-イレブン,✅ 設置容易,セブン-イレブンへの設置を推奨
6,高津区,蟹ケ谷,524棟,住宅地,なし（300m以内）,専念寺、八太神社、町内会館,⚠️ 要検討,店舗なし。寺社または町内会館への設置を推奨
7,多摩区,西生田五丁目,957棟,農地+果樹園+森林,なし（500m以内）,クオール薬局,⚠️ 要検討,薬局または町内会館への設置を推奨
8,麻生区,東百合丘一丁目,993棟（戸建て21棟）,住宅地+農地+森林,なし（300m以内）,クオール薬局、さくらの丘（福祉施設）,⚠️ 要検討,薬局または福祉施設への設置を推奨
9,宮前区,有馬九丁目,697棟,住宅地+農地,ファミリーマート,ファミリーマート、寿デイサービスセンター,✅ 設置容易,ファミマへの設置を推奨
10,高津区,久末(2),不明,森林+農地,なし（500m以内）,川崎めぐみ幼稚園,⚠️ 要検討,幼稚園への設置を推奨
