順位,区,町丁名,住所,地点タイプ,コンビニ500m,設置候補施設,土地利用,評価,備考,Google_Maps
1,多摩区,登戸,"多摩沿線道路, 登戸新町",道路（tertiary）,なし,いなげや（スーパー）、ぶどうの実登戸園（保育園）,草地、農地、工事中,✅ 設置可能（スーパーあり）,登戸駅北東の丘陵地帯。スーパーいなげやへの設置を推奨,"https://www.google.com/maps?q=35.626665,139.566649&z=18"
2,高津区,久末,"久末, 高津区",住宅地,なし,たちばな幼稚園,農地,⚠️ 要検討（幼稚園への設置を検討）,住宅地だが農地も混在。幼稚園または町内会館への設置を推奨,"https://www.google.com/maps?q=35.564183,139.624603&z=18"
3,高津区,千年,"千年, 子母口富士見台",住宅地,ローソンストア100、ファミリーマート,ローソンストア100、橘保育園、クリエイト薬局,住宅地、森林、農地,✅ 設置容易（コンビニあり）,コンビニが複数あり設置しやすい。ローソンストア100を第一候補に,"https://www.google.com/maps?q=35.575771,139.623199&z=18"
4,多摩区,登戸(2),"登戸, 多摩区",道路（tertiary）,なし,OSMデータなし,不明,❓ 要追加調査,登戸の西側。Google Mapsで現地確認が必要,"https://www.google.com/maps?q=35.624582,139.55384&z=18"
5,宮前区,犬蔵二丁目,"犬蔵二丁目, 宮前区",住宅地,セブン-イレブン,セブン-イレブン、たまプラーザ薬局,農地、草地、森林,✅ 設置容易（コンビニあり）,セブン-イレブンへの設置を推奨,"https://www.google.com/maps?q=35.582851,139.56492&z=18"
6,高津区,蟹ケ谷,"蟹ケ谷, 高津区",道路（unclassified）,なし,OSMデータなし,不明,❓ 要追加調査,久末の東側。Google Mapsで現地確認が必要,"https://www.google.com/maps?q=35.564194,139.630231&z=18"
7,多摩区,西生田五丁目,"西生田五丁目, 多摩区",住宅地,なし,クオール薬局,農地、果樹園、森林,⚠️ 要検討（薬局への設置を検討）,丘陵住宅地。農地・森林が多い。薬局または町内会館への設置を推奨,"https://www.google.com/maps?q=35.60751,139.524397&z=18"
8,麻生区,東百合丘一丁目,"東百合丘一丁目, 麻生区",住宅地,なし,OSMデータなし,不明,❓ 要追加調査,百合丘駅付近。Google Mapsで現地確認が必要,"https://www.google.com/maps?q=35.603191,139.526181&z=18"
9,宮前区,有馬九丁目,"有馬九丁目, 宮前区",住宅地,なし,OSMデータなし,不明,❓ 要追加調査,鷺沼駅南西方向。Google Mapsで現地確認が必要,"https://www.google.com/maps?q=35.573909,139.571115&z=18"
10,高津区,久末(2),"久末, 高津区",住宅地,なし,川崎めぐみ幼稚園,森林、農地,⚠️ 要検討（幼稚園への設置を検討）,久末の南西部。農地・森林が多い。幼稚園への設置を推奨,"https://www.google.com/maps?q=35.562997,139.619235&z=18"
